actor,titulo,personaje
Felipe Alicia Frías,Golpe mortal,La madre
Irma Ureña,Golpe mortal,El heroe
Ariadna Alarcón,El testamento,El lider
Eloisa Henríquez Gastélum,El testamento,La madre
Mtro. Salma Mondragón,La maquina del tiempo,La detective
Sr(a). María Eugenia Saldivar,La maquina del tiempo,La detective
Yuridia Girón Rojo,Sin salida aparente,El lider
Mtro. Barbara Almanza,Sin salida aparente,El lider
Estela Catalina Páez,Sin salida aparente,El amigo
Uriel Héctor Ávalos Carrillo,Sin salida aparente,El traidor
Patricia Estefanía Cadena Magaña,El poder oculto,El heroe
Marisol Aranda,El poder oculto,El mentor
Ing. Amelia Correa,El poder oculto,La detective
Alfredo Lucas Flores Navarro,El poder oculto,El traidor
Lic. Arturo Gamez,El poder oculto,El heroe
Lic. Carmen Nava,La amenaza silenciosa,El heroe
Carmen Pamela Dávila,La amenaza silenciosa,El amigo
Alvaro Marisol Flores,La amenaza silenciosa,El traidor
Rocío Helena Caldera Escalante,La amenaza silenciosa,El traidor
Guillermo Gaitán,La amenaza silenciosa,El mentor
Gabriela Israel Ayala Alcántar,Descenso,El traidor
Lic. Arturo Gamez,Descenso,El amigo
Sr(a). Abigail Almonte,El ultimo dia,El heroe
Paola Sevilla Robles,El ultimo dia,El lider
Rosario Arellano Portillo,El ultimo dia,El amigo
Cristian Jorge Ontiveros,El ultimo dia,La madre
Gabriela Alcala Carranza,La fuerza interior,La protagonista
Dr. Lourdes Huerta,La fuerza interior,El heroe
Guillermo Gaitán,La fuerza interior,El heroe
Sr(a). Abigail Almonte,La fuerza interior,El villano
Mtro. Estela Báez,Sin tregua,El traidor
Aldo Granados,Sin tregua,El cientifico
Aurora Villagómez,Sin tregua,El heroe
Carmen Pamela Dávila,Sin tregua,El lider
Estela Catalina Páez,El maestro del engano,El lider
Rosario Arellano Portillo,El maestro del engano,El heroe
Verónica Barbara Anaya Olivera,El maestro del engano,El mentor
Sr(a). Oswaldo Portillo,La trampa final,La detective
Alberto Susana Méndez Santiago,La trampa final,La detective
Raquel Elsa de Anda Pérez,La trampa final,La protagonista
Silvia Macías,La trampa final,La madre
Alvaro Márquez,Combustion,El traidor
Mariana Noelia Ontiveros,Combustion,El traidor
Yuridia Girón Rojo,Combustion,El cientifico
Cristina Cynthia Zavala Padilla,El observador,La protagonista
Sr(a). Hilda Ávalos,El observador,La madre
Eloisa Henríquez Gastélum,La red de mentiras,El amigo
Esther Humberto Bétancourt,La red de mentiras,La detective
Dr. Verónica Rendón,La red de mentiras,La detective
Lic. Carmen Nava,Sin identidad conocida,El mentor
Mariana Andrea Montalvo Regalado,Sin identidad conocida,El mentor
Verónica Barbara Anaya Olivera,Sin identidad conocida,El villano
Lic. César Meraz,El ultimo paso,El villano
Dr. Elsa Corona,El ultimo paso,La detective
Sr(a). Hilda Ávalos,El ultimo paso,La protagonista
Gabriel Teodoro Toledo,La noche sin fin,La detective
Sr(a). María Eugenia Saldivar,La noche sin fin,La detective
Irma Ureña,La noche sin fin,El amigo
Sr(a). Hilda Ávalos,Fractura,El amigo
Dr. Lourdes Huerta,Fractura,La detective
Clemente Rosado,Fractura,El cientifico
Raquel Elsa de Anda Pérez,Fractura,El cientifico
Cristina Cynthia Zavala Padilla,Fractura,El amigo
Sofía Berta Cortez,El espiritu guerrero,El villano
Claudia Naranjo,El espiritu guerrero,La madre
Flavio de la Rosa,El espiritu guerrero,El traidor
Gabriel Teodoro Toledo,El espiritu guerrero,El cientifico
Mateo Martínez,La zona gris,El mentor
Mtro. Alta  Gracia Botello,La zona gris,El villano
Gabino Sáenz Garay,Sin piedad ni gloria,El heroe
Rafaél Gurule Benavides,Sin piedad ni gloria,El cientifico
Aldo Granados,Sin piedad ni gloria,El heroe
Adán Vela,Sin piedad ni gloria,La madre
Raquel Elsa de Anda Pérez,Sin piedad ni gloria,El amigo
Socorro Arevalo Avilés,El codigo negro,La detective
Guillermo Gaitán,El codigo negro,La detective
Rosalia Nancy Flores,La ultima esperanza,El heroe
Estela Catalina Páez,La ultima esperanza,El mentor
Mtro. Barbara Almanza,La ultima esperanza,El villano
Berta Ornelas Almaraz,Tormenta interior,El mentor
Clemente Candelaria,Tormenta interior,El cientifico
Marisol Aranda,Tormenta interior,La madre
Salvador Ricardo Armas,Tormenta interior,La madre
Sr(a). Hilda Ávalos,Tormenta interior,La detective
Rafaél Gurule Benavides,El regreso del mal,El traidor
Sr(a). Oswaldo Portillo,El regreso del mal,El lider
Juan Jaramillo,La conexion,El villano
Salvador Ricardo Armas,La conexion,La madre
Ing. Amelia Correa,Sin nombre,El heroe
Ing. Enrique Guevara,Sin nombre,El traidor
Yuridia Girón Rojo,Sin nombre,El villano
Esther Barbara Vera Escamilla,Sin nombre,El traidor
Mtro. Bruno Cazares,El doble juego,El mentor
Adriana Agustín Lara,El doble juego,El traidor
Itzel Paz Luevano,El doble juego,El lider
Sr(a). Lilia Becerra,El doble juego,El mentor
Alberto Susana Méndez Santiago,La fuerza del destino,El cientifico
María Cristina Garica Quiñónez,La fuerza del destino,El mentor
Silvia Macías,La fuerza del destino,El cientifico
Zacarías Timoteo Vaca,Impacto final,El mentor
Eloisa Henríquez Gastélum,Impacto final,El villano
Esther Barbara Vera Escamilla,Impacto final,El traidor
Gabino Sáenz Garay,Impacto final,La detective
Mtro. Bruno Cazares,El mundo al reves,La madre
Luisa Perea,El mundo al reves,El cientifico
Mariana Andrea Montalvo Regalado,El mundo al reves,El villano
Mateo Martínez,La guerra de sombras,El cientifico
Mariana Noelia Ontiveros,La guerra de sombras,La detective
Esteban Solano Soto,La guerra de sombras,El mentor
Alfredo Lucas Flores Navarro,Punto sin retorno,El heroe
Verónica Barbara Anaya Olivera,Punto sin retorno,El traidor
Mariana Andrea Montalvo Regalado,Punto sin retorno,La madre
Cristina Cynthia Zavala Padilla,El espejo oscuro,El cientifico
Paola Sevilla Robles,El espejo oscuro,El traidor
Alfredo Lucas Flores Navarro,El espejo oscuro,El cientifico
Gabriel Teodoro Toledo,El espejo oscuro,El lider
Sr(a). Oswaldo Portillo,El espejo oscuro,El villano
Sofía Berta Cortez,La voz del silencio,El mentor
Lucas Salvador Alonzo Jaimes,La voz del silencio,El heroe
Sr(a). María Eugenia Saldivar,La voz del silencio,El villano
Esteban Rojo Enríquez,La voz del silencio,La madre
Ing. Enrique Guevara,La voz del silencio,El cientifico
Ariadna Alarcón,Sin limite,El lider
Ing. Andrea Tapia,Sin limite,El traidor
Gustavo Roberto Zúñiga,El cazador solitario,El amigo
Sr(a). María Eugenia Saldivar,El cazador solitario,El cientifico
Lic. César Meraz,El cazador solitario,La detective
Lic. César Meraz,La herida abierta,El villano
Mauricio Crespo Valles,La herida abierta,La detective
